width,depth,real_time (s)
5,1,1.19
5,51,1.256
5,101,1.273
5,151,1.366
5,201,1.428
5,251,1.503
5,301,1.586
5,351,1.62
5,401,1.668
5,451,1.797
5,501,1.874
5,551,2.01
5,601,2.196
5,651,2.236
5,701,2.374
5,751,2.609
5,801,2.721
5,851,2.957
5,901,3.134
6,1,1.141
6,51,1.443
6,101,1.84
6,151,2.047
6,201,2.38
6,251,2.72
6,301,3.181
6,351,3.394
6,401,3.82
6,451,4.375
6,501,4.765
6,551,5.519
6,601,6.434
6,651,7.395
6,701,7.66
6,751,8.49
6,801,9.472
6,851,10.547
6,901,11.221
7,1,1.154
7,51,2.564
7,101,3.809
7,151,5.24
7,201,6.602
7,251,8.156
7,301,10.094
7,351,11.615
7,401,13.738
7,451,16.346
7,501,19.687
7,551,22.642
7,601,29
7,651,30.127
7,701,33.354
7,751,37.412
7,801,42.998
7,851,45.772
7,901,50.218
8,1,1.243
8,51,7.38
8,101,13.388
8,151,19.376
8,201,26.744
8,251,34.194
8,301,40.605
8,351,52.024
8,401,62.669
8,451,82.224
8,501,98.759
8,551,110.588
8,601,138.767
8,651,175.563
8,701,188.2
8,751,180.561
8,801,195.425
8,851,210.498
8,901,228.634
9,1,1.83
9,51,28.053
9,101,55.688
9,151,82.68
9,201,112.73
9,251,147.48
9,301,185.012
9,351,231.237
9,401,296.001
9,451,368.381
9,501,446.257
9,551,506.175
9,601,608.539
10,1,3.87
10,101,251.53
10,151,370.665
10,201,507.696
10,251,734.197
10,301,928.686
10,351,1094.342
10,401,1510.666
10,451,1932.368
